"acc","assay_type","bioproject","biosample_link","cANI","collection_date_sam","containment","geo_loc_name_country_calc","lat_lon","organism"
"ERR2683278","WGS","PRJEB27621","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4777535","0.91","2017-06-14","0.13","Ecuador","NP","wastewater metagenome"
"SRR14117058","WGS","PRJNA695070","https://www.ncbi.nlm.nih.gov/biosample/SAMN17717796","1","NP","0.95","China","""not collected""","human metagenome"
"SRR12180968","WGS","PRJNA645015","https://www.ncbi.nlm.nih.gov/biosample/SAMN15488345","0.9","NP","0.12","China","[43.31,126.48]","insect gut metagenome"
"ERR11042558","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12818204","0.91","NP","0.15","NP","NP","unidentified"
"ERR11042241","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820743","0.92","NP","0.16","NP","NP","unidentified"
"SRR24951333","WGS","PRJNA982679","https://www.ncbi.nlm.nih.gov/biosample/SAMN35711823","0.93","2022-02-17","0.22","Switzerland","[47.4939143,7.5216874]","Listeria monocytogenes"
"ERR11172770","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12821189","0.92","NP","0.18","NP","NP","unidentified"
"ERR2683266","WGS","PRJEB27621","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4777523","0.92","2017-06-22","0.16","Saint Lucia","NP","wastewater metagenome"
"ERR2683152","WGS","PRJEB27621","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4777409","0.9","2017-06-13","0.1","Canada","NP","wastewater metagenome"
"ERR8977353","WGS","PRJEB51229","https://www.ncbi.nlm.nih.gov/biosample/SAMEA13189682","0.91","2017-09-30","0.13","China","NP","wastewater metagenome"
"ERR10692403","WGS","PRJEB58441","https://www.ncbi.nlm.nih.gov/biosample/SAMEA112254476","0.9","NP","0.12","Tanzania","NP","feces metagenome"
"SRR25011022","WGS","PRJNA976726","https://www.ncbi.nlm.nih.gov/biosample/SAMN35522482","0.99","2018-06-02","0.78","Bangladesh","[23.685,90.3563]","human feces metagenome"
"SRR17656801","WGS","PRJNA797856","https://www.ncbi.nlm.nih.gov/biosample/SAMN25037263","0.91","2021-02-25","0.15","NP","NP","plastic metagenome"
"SRR14509763","WGS","PRJNA728908","https://www.ncbi.nlm.nih.gov/biosample/SAMN19107464","0.9","2014-07-01","0.11","China","[30.53,121.48]","metagenome"
"ERR3211735","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414380","0.91","2016-10-03","0.14","Denmark","NP","wastewater metagenome"
"ERR10686701","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10633434","0.92","NP","0.16","NP","NP","unidentified"
"ERR3152365","WGS","PRJEB29504","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5065621","0.99","NP","0.86","NP","NP","metagenome"
